graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnp_500,1,astar_null,176,411,yes,5,17,499,0.058475,500,3685,0.0295
gnp_500,1,astar_manhattan,176,411,yes,5,17,499,0.060652,500,3685,0.0295
gnp_500,1,astar_euclidean,176,411,yes,5,17,499,0.066864,500,3685,0.0295
gnp_500,1,bfs,176,411,yes,4,0,500,0.000273,500,3685,0.0295
gnp_500,1,dfs,176,411,yes,149,0,148,0.000196,500,3685,0.0295
gnp_500,2,astar_null,2,480,yes,4,16,499,0.074732,500,3768,0.0302
gnp_500,2,astar_manhattan,2,480,yes,4,16,499,0.080971,500,3768,0.0302
gnp_500,2,astar_euclidean,2,480,yes,4,16,499,0.063973,500,3768,0.0302
gnp_500,2,bfs,2,480,yes,4,0,500,0.000274,500,3768,0.0302
gnp_500,2,dfs,2,480,yes,17,0,16,3.7e-05,500,3768,0.0302
gnp_500,3,astar_null,158,311,yes,8,15,499,0.061112,500,3711,0.0297
gnp_500,3,astar_manhattan,158,311,yes,9,15,499,0.061847,500,3711,0.0297
gnp_500,3,astar_euclidean,158,311,yes,8,15,499,0.072255,500,3711,0.0297
gnp_500,3,bfs,158,311,yes,5,0,500,0.000308,500,3711,0.0297
gnp_500,3,dfs,158,311,yes,300,0,299,0.000348,500,3711,0.0297
