graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnp_300,1,astar_null,77,247,yes,6,21,299,0.022846,300,1372,0.0306
gnp_300,1,astar_manhattan,77,247,yes,6,21,294,0.012397,300,1372,0.0306
gnp_300,1,astar_euclidean,77,247,yes,6,21,298,0.012135,300,1372,0.0306
gnp_300,1,bfs,77,247,yes,5,0,300,0.000145,300,1372,0.0306
gnp_300,1,dfs,77,247,yes,86,0,85,9e-05,300,1372,0.0306
gnp_300,2,astar_null,34,60,yes,9,20,299,0.013362,300,1380,0.0308
gnp_300,2,astar_manhattan,34,60,yes,9,20,299,0.013431,300,1380,0.0308
gnp_300,2,astar_euclidean,34,60,yes,9,20,299,0.016401,300,1380,0.0308
gnp_300,2,bfs,34,60,yes,5,0,300,0.000142,300,1380,0.0308
gnp_300,2,dfs,34,60,yes,240,0,283,0.000203,300,1380,0.0308
gnp_300,3,astar_null,5,206,yes,6,21,299,0.012728,300,1329,0.0296
gnp_300,3,astar_manhattan,5,206,yes,6,21,297,0.015231,300,1329,0.0296
gnp_300,3,astar_euclidean,5,206,yes,6,21,297,0.013075,300,1329,0.0296
gnp_300,3,bfs,5,206,yes,5,0,300,0.000145,300,1329,0.0296
gnp_300,3,dfs,5,206,yes,29,0,28,4.2e-05,300,1329,0.0296
