graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnp_200,1,astar_null,46,117,yes,10,33,198,0.003305,200,595,0.0299
gnp_200,1,astar_manhattan,46,117,yes,10,33,198,0.003527,200,595,0.0299
gnp_200,1,astar_euclidean,46,117,yes,10,33,198,0.003748,200,595,0.0299
gnp_200,1,bfs,46,117,yes,7,0,199,8e-05,200,595,0.0299
gnp_200,1,dfs,46,117,yes,83,0,82,6.2e-05,200,595,0.0299
gnp_200,2,astar_null,147,194,yes,7,26,198,0.008427,200,608,0.0306
gnp_200,2,astar_manhattan,147,194,yes,7,26,198,0.0047,200,608,0.0306
gnp_200,2,astar_euclidean,147,194,yes,7,26,198,0.003774,200,608,0.0306
gnp_200,2,bfs,147,194,yes,5,0,199,6.8e-05,200,608,0.0306
gnp_200,2,dfs,147,194,yes,86,0,85,6.2e-05,200,608,0.0306
gnp_200,3,astar_null,16,85,yes,10,28,199,0.003337,200,597,0.03
gnp_200,3,astar_manhattan,16,85,yes,10,28,199,0.003559,200,597,0.03
gnp_200,3,astar_euclidean,16,85,yes,10,28,199,0.003536,200,597,0.03
gnp_200,3,bfs,16,85,yes,6,0,200,7.2e-05,200,597,0.03
gnp_200,3,dfs,16,85,yes,43,0,199,0.000108,200,597,0.03
