graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnp_100,1,astar_null,12,28,yes,8,47,88,0.000332,100,138,0.0279
gnp_100,1,astar_manhattan,12,28,yes,8,47,88,0.000403,100,138,0.0279
gnp_100,1,astar_euclidean,12,28,yes,8,47,88,0.000458,100,138,0.0279
gnp_100,1,bfs,12,28,yes,8,0,89,2.8e-05,100,138,0.0279
gnp_100,1,dfs,12,28,yes,18,0,85,3.6e-05,100,138,0.0279
gnp_100,2,astar_null,15,71,yes,13,53,92,0.000313,100,135,0.0273
gnp_100,2,astar_manhattan,15,71,yes,13,53,92,0.000374,100,135,0.0273
gnp_100,2,astar_euclidean,15,71,yes,13,53,92,0.000378,100,135,0.0273
gnp_100,2,bfs,15,71,yes,11,0,93,3e-05,100,135,0.0273
gnp_100,2,dfs,15,71,yes,36,0,44,2.1e-05,100,135,0.0273
gnp_100,3,astar_null,13,44,yes,13,53,94,0.000334,100,142,0.0287
gnp_100,3,astar_manhattan,13,44,yes,13,53,94,0.000399,100,142,0.0287
gnp_100,3,astar_euclidean,13,44,yes,13,53,94,0.000419,100,142,0.0287
gnp_100,3,bfs,13,44,yes,10,0,95,3.2e-05,100,142,0.0287
gnp_100,3,dfs,13,44,yes,45,0,52,2.7e-05,100,142,0.0287
