graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnp_1000,1,astar_null,42,56,yes,4,10,999,0.572757,1000,14631,0.0293
gnp_1000,1,astar_manhattan,42,56,yes,4,10,987,0.538412,1000,14631,0.0293
gnp_1000,1,astar_euclidean,42,56,yes,4,10,997,0.487642,1000,14631,0.0293
gnp_1000,1,bfs,42,56,yes,4,0,1000,0.000799,1000,14631,0.0293
gnp_1000,1,dfs,42,56,yes,916,0,917,0.001531,1000,14631,0.0293
gnp_1000,2,astar_null,76,78,yes,6,10,999,0.484259,1000,15034,0.0301
gnp_1000,2,astar_manhattan,76,78,yes,6,10,986,0.530045,1000,15034,0.0301
gnp_1000,2,astar_euclidean,76,78,yes,6,10,991,0.495954,1000,15034,0.0301
gnp_1000,2,bfs,76,78,yes,3,0,1000,0.000676,1000,15034,0.0301
gnp_1000,2,dfs,76,78,yes,926,0,972,0.001701,1000,15034,0.0301
gnp_1000,3,astar_null,354,998,yes,3,12,998,0.757802,1000,14913,0.0299
gnp_1000,3,astar_manhattan,354,998,yes,3,12,996,0.489757,1000,14913,0.0299
gnp_1000,3,astar_euclidean,354,998,yes,3,12,997,0.547839,1000,14913,0.0299
gnp_1000,3,bfs,354,998,yes,3,0,1000,0.001088,1000,14913,0.0299
gnp_1000,3,dfs,354,998,yes,86,0,85,0.000424,1000,14913,0.0299
