trial,heuristic,success,path_len,nodes_expanded,nodes_generated,open_list_max,time_sec
1,zero,yes,39,309,309,21,0.037737
1,manhattan,yes,39,146,181,44,0.017261
1,euclidean,yes,39,257,277,32,0.027764
2,zero,yes,39,317,317,19,0.030891
2,manhattan,yes,39,150,206,57,0.020136
2,euclidean,yes,39,245,259,22,0.029553
3,zero,no,0,284,283,20,0.028914
3,manhattan,no,0,284,331,49,0.03466
3,euclidean,no,0,284,283,25,0.030256
4,zero,yes,39,310,310,20,0.041359
4,manhattan,yes,39,152,205,56,0.021743
4,euclidean,yes,39,267,290,28,0.033127
5,zero,yes,39,335,335,24,0.033329
5,manhattan,yes,39,237,298,70,0.028403
5,euclidean,yes,39,278,309,39,0.031257
6,zero,yes,39,297,298,19,0.02929
6,manhattan,yes,39,107,136,33,0.017015
6,euclidean,yes,39,175,189,21,0.020235
7,zero,yes,39,323,323,24,0.033584
7,manhattan,yes,39,197,259,73,0.023824
7,euclidean,yes,39,269,288,28,0.02923
8,zero,yes,39,327,327,25,0.032673
8,manhattan,yes,39,141,187,47,0.018883
8,euclidean,yes,39,262,289,31,0.028995
9,zero,yes,39,339,339,21,0.033752
9,manhattan,yes,39,170,234,67,0.025658
9,euclidean,yes,39,310,333,30,0.034506
10,zero,yes,39,303,304,22,0.030392
10,manhattan,yes,39,110,157,50,0.0154
10,euclidean,yes,39,207,228,35,0.026163
