trial,heuristic,success,path_len,nodes_expanded,nodes_generated,open_list_max,time_sec
1,zero,yes,399,31996,31996,208,3.280217
1,manhattan,yes,399,6098,8144,2052,1.655907
1,euclidean,yes,399,30491,30660,316,3.633396
2,zero,yes,399,31954,31955,203,3.18556
2,manhattan,yes,399,5205,6877,1679,1.217974
2,euclidean,yes,399,30495,30741,311,3.645252
3,zero,yes,401,31804,31804,202,3.269482
3,manhattan,yes,401,9158,12092,2938,3.520287
3,euclidean,yes,401,30433,30641,315,3.687828
4,zero,yes,399,31957,31957,218,3.301012
4,manhattan,yes,399,5130,6854,1725,1.336309
4,euclidean,yes,399,29986,30251,332,3.628081
5,zero,no,0,31883,31882,216,3.307674
5,manhattan,no,0,31883,35747,3747,12.695128
5,euclidean,no,0,31883,31889,317,3.84276
