trial,heuristic,success,path_len,nodes_expanded,nodes_generated,open_list_max,time_sec
1,zero,yes,599,72085,72085,301,9.008278
1,manhattan,yes,599,13691,17583,3900,6.199716
1,euclidean,yes,599,68686,69094,472,10.034651
1,aggressive,yes,671,847,1509,651,0.169917
2,zero,no,0,1,0,1,0.000345
2,manhattan,no,0,1,0,1,0.000269
2,euclidean,no,0,1,0,1,0.000263
2,aggressive,no,0,1,0,1,0.000238
3,zero,yes,599,71609,71609,297,8.856059
3,manhattan,yes,599,6224,8197,1981,1.83531
3,euclidean,yes,599,68963,69384,482,9.95273
3,aggressive,yes,675,770,1428,653,0.176102
4,zero,yes,599,71817,71817,306,8.731745
4,manhattan,yes,599,11065,14283,3226,4.418864
4,euclidean,yes,599,68349,68727,475,9.989167
4,aggressive,yes,669,848,1490,626,0.179692
5,zero,yes,599,71636,71636,308,8.728028
5,manhattan,yes,599,11636,15295,3662,5.186702
5,euclidean,yes,599,68561,68985,470,9.92814
5,aggressive,yes,685,881,1545,646,0.193105
