graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnk_200,1,astar_null,99,187,yes,12,47,196,0.001706,200,400,0.0201
gnk_200,1,astar_manhattan,99,187,yes,12,47,196,0.001857,200,400,0.0201
gnk_200,1,astar_euclidean,99,187,yes,12,47,196,0.002068,200,400,0.0201
gnk_200,1,bfs,99,187,yes,10,0,197,7.3e-05,200,400,0.0201
gnk_200,1,dfs,99,187,yes,130,0,148,7.1e-05,200,400,0.0201
gnk_200,2,astar_null,85,128,yes,10,41,196,0.001683,200,400,0.0201
gnk_200,2,astar_manhattan,85,128,yes,10,41,196,0.001841,200,400,0.0201
gnk_200,2,astar_euclidean,85,128,yes,10,41,196,0.001896,200,400,0.0201
gnk_200,2,bfs,85,128,yes,8,0,197,6.3e-05,200,400,0.0201
gnk_200,2,dfs,85,128,yes,38,0,37,2.4e-05,200,400,0.0201
gnk_200,3,astar_null,8,90,yes,8,46,198,0.001896,200,400,0.0201
gnk_200,3,astar_manhattan,8,90,yes,8,46,198,0.002241,200,400,0.0201
gnk_200,3,astar_euclidean,8,90,yes,8,46,198,0.002,200,400,0.0201
gnk_200,3,bfs,8,90,yes,8,0,199,6.8e-05,200,400,0.0201
gnk_200,3,dfs,8,90,yes,122,0,152,7.4e-05,200,400,0.0201
