graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnk_500,1,astar_null,29,332,yes,10,52,487,0.01065,500,1000,0.008
gnk_500,1,astar_manhattan,29,332,yes,10,52,487,0.021405,500,1000,0.008
gnk_500,1,astar_euclidean,29,332,yes,10,52,487,0.012617,500,1000,0.008
gnk_500,1,bfs,29,332,yes,10,0,487,0.000315,500,1000,0.008
gnk_500,1,dfs,29,332,yes,265,0,420,0.000373,500,1000,0.008
gnk_500,2,astar_null,54,220,yes,12,49,495,0.014437,500,1000,0.008
gnk_500,2,astar_manhattan,54,220,yes,12,49,495,0.011891,500,1000,0.008
gnk_500,2,astar_euclidean,54,220,yes,12,49,495,0.010571,500,1000,0.008
gnk_500,2,bfs,54,220,yes,8,0,493,0.000175,500,1000,0.008
gnk_500,2,dfs,54,220,yes,267,0,408,0.000216,500,1000,0.008
gnk_500,3,astar_null,293,347,yes,13,47,492,0.010486,500,1000,0.008
gnk_500,3,astar_manhattan,293,347,yes,13,47,492,0.012246,500,1000,0.008
gnk_500,3,astar_euclidean,293,347,yes,13,47,492,0.015946,500,1000,0.008
gnk_500,3,bfs,293,347,yes,9,0,493,0.000205,500,1000,0.008
gnk_500,3,dfs,293,347,yes,126,0,133,9.7e-05,500,1000,0.008
