graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnk_300,1,astar_null,27,290,yes,9,43,295,0.00563,300,600,0.0134
gnk_300,1,astar_manhattan,27,290,yes,9,43,295,0.004273,300,600,0.0134
gnk_300,1,astar_euclidean,27,290,yes,9,43,295,0.004324,300,600,0.0134
gnk_300,1,bfs,27,290,yes,7,0,293,0.000102,300,600,0.0134
gnk_300,1,dfs,27,290,yes,153,0,204,0.000109,300,600,0.0134
gnk_300,2,astar_null,57,159,yes,9,43,294,0.004034,300,600,0.0134
gnk_300,2,astar_manhattan,57,159,yes,9,43,294,0.004173,300,600,0.0134
gnk_300,2,astar_euclidean,57,159,yes,9,43,294,0.007903,300,600,0.0134
gnk_300,2,bfs,57,159,yes,8,0,293,0.000106,300,600,0.0134
gnk_300,2,dfs,57,159,yes,50,0,293,0.000135,300,600,0.0134
gnk_300,3,astar_null,98,130,yes,11,58,294,0.004196,300,600,0.0134
gnk_300,3,astar_manhattan,98,130,yes,11,58,294,0.004096,300,600,0.0134
gnk_300,3,astar_euclidean,98,130,yes,11,58,294,0.004141,300,600,0.0134
gnk_300,3,bfs,98,130,yes,10,0,295,0.000105,300,600,0.0134
gnk_300,3,dfs,98,130,yes,68,0,288,0.000137,300,600,0.0134
