graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
grid_200,1,astar_null,13,184,yes,29,113,195,0.000591,196,297,0.0155
grid_200,1,astar_manhattan,13,184,yes,29,113,195,0.000636,196,297,0.0155
grid_200,1,astar_euclidean,13,184,yes,29,113,195,0.00061,196,297,0.0155
grid_200,1,bfs,13,184,yes,25,0,195,5.8e-05,196,297,0.0155
grid_200,1,dfs,13,184,yes,45,0,51,2.2e-05,196,297,0.0155
grid_200,2,astar_null,9,182,yes,29,110,195,0.00059,196,288,0.0151
grid_200,2,astar_manhattan,9,182,yes,29,110,182,0.000637,196,288,0.0151
grid_200,2,astar_euclidean,9,182,yes,29,110,182,0.000723,196,288,0.0151
grid_200,2,bfs,9,182,yes,27,0,196,6.4e-05,196,288,0.0151
grid_200,2,dfs,9,182,yes,47,0,55,2.3e-05,196,288,0.0151
grid_200,3,astar_null,13,185,yes,30,119,194,0.000588,196,291,0.0152
grid_200,3,astar_manhattan,13,185,yes,28,119,193,0.000662,196,291,0.0152
grid_200,3,astar_euclidean,13,185,yes,28,119,194,0.000611,196,291,0.0152
grid_200,3,bfs,13,185,yes,24,0,191,6.2e-05,196,291,0.0152
grid_200,3,dfs,13,185,yes,48,0,52,2.2e-05,196,291,0.0152
