graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
grid_300,1,astar_null,16,272,yes,33,126,285,0.00113,289,446,0.0107
grid_300,1,astar_manhattan,16,272,yes,33,126,285,0.001159,289,446,0.0107
grid_300,1,astar_euclidean,16,272,yes,33,126,285,0.001221,289,446,0.0107
grid_300,1,bfs,16,272,yes,33,0,287,0.000116,289,446,0.0107
grid_300,1,dfs,16,272,yes,47,0,55,2.5e-05,289,446,0.0107
grid_300,2,astar_null,0,288,yes,33,137,288,0.000998,289,443,0.0106
grid_300,2,astar_manhattan,0,288,yes,33,137,288,0.001075,289,443,0.0106
grid_300,2,astar_euclidean,0,288,yes,33,137,288,0.001136,289,443,0.0106
grid_300,2,bfs,0,288,yes,33,0,289,0.000148,289,443,0.0106
grid_300,2,dfs,0,288,yes,39,0,39,3.1e-05,289,443,0.0106
grid_300,3,astar_null,0,271,yes,32,139,285,0.000928,289,418,0.01
grid_300,3,astar_manhattan,0,271,yes,32,139,281,0.000968,289,418,0.01
grid_300,3,astar_euclidean,0,271,yes,32,139,281,0.000911,289,418,0.01
grid_300,3,bfs,0,271,yes,32,0,286,8.4e-05,289,418,0.01
grid_300,3,dfs,0,271,yes,42,0,41,2e-05,289,418,0.01
