graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
grid_50,1,astar_null,5,22,yes,14,83,48,0.000117,49,65,0.0553
grid_50,1,astar_manhattan,5,22,yes,14,83,48,9.4e-05,49,65,0.0553
grid_50,1,astar_euclidean,5,22,yes,14,83,48,0.000108,49,65,0.0553
grid_50,1,bfs,5,22,yes,14,0,49,1.7e-05,49,65,0.0553
grid_50,1,dfs,5,22,yes,20,0,23,1.1e-05,49,65,0.0553
grid_50,2,astar_null,6,36,yes,15,62,48,0.000103,49,68,0.0578
grid_50,2,astar_manhattan,6,36,yes,15,62,47,0.000109,49,68,0.0578
grid_50,2,astar_euclidean,6,36,yes,15,62,48,0.00011,49,68,0.0578
grid_50,2,bfs,6,36,yes,13,0,49,1.7e-05,49,68,0.0578
grid_50,2,dfs,6,36,yes,15,0,17,9e-06,49,68,0.0578
grid_50,3,astar_null,5,44,yes,10,48,48,0.000116,49,73,0.0621
grid_50,3,astar_manhattan,5,44,yes,10,48,48,0.000112,49,73,0.0621
grid_50,3,astar_euclidean,5,44,yes,10,48,48,0.000117,49,73,0.0621
grid_50,3,bfs,5,44,yes,10,0,48,1.7e-05,49,73,0.0621
grid_50,3,dfs,5,44,yes,12,0,11,7e-06,49,73,0.0621
