graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
grid_1000,1,astar_null,25,868,yes,60,253,956,0.004511,961,1468,0.0032
grid_1000,1,astar_manhattan,25,868,yes,60,253,956,0.005047,961,1468,0.0032
grid_1000,1,astar_euclidean,25,868,yes,60,253,956,0.004644,961,1468,0.0032
grid_1000,1,bfs,25,868,yes,56,0,957,0.000285,961,1468,0.0032
grid_1000,1,dfs,25,868,yes,218,0,258,0.000103,961,1468,0.0032
grid_1000,2,astar_null,29,930,yes,64,245,957,0.00819,961,1452,0.0031
grid_1000,2,astar_manhattan,29,930,yes,64,245,957,0.007869,961,1452,0.0031
grid_1000,2,astar_euclidean,29,930,yes,64,245,957,0.004773,961,1452,0.0031
grid_1000,2,bfs,29,930,yes,60,0,958,0.000285,961,1452,0.0031
grid_1000,2,dfs,29,930,yes,324,0,365,0.00015,961,1452,0.0031
grid_1000,3,astar_null,1,929,yes,63,236,958,0.012719,961,1511,0.0033
grid_1000,3,astar_manhattan,1,929,yes,63,236,957,0.007334,961,1511,0.0033
grid_1000,3,astar_euclidean,1,929,yes,63,236,957,0.005041,961,1511,0.0033
grid_1000,3,bfs,1,929,yes,61,0,959,0.000269,961,1511,0.0033
grid_1000,3,dfs,1,929,yes,65,0,146,5.8e-05,961,1511,0.0033
