graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
geo_1000,1,astar_null,443,858,yes,43,2,999,2.413165,1000,76711,0.1536
geo_1000,1,astar_manhattan,443,858,yes,26,2,712,2.616333,1000,76711,0.1536
geo_1000,1,astar_euclidean,443,858,yes,26,2,935,4.133879,1000,76711,0.1536
geo_1000,1,bfs,443,858,yes,6,0,1000,0.007243,1000,76711,0.1536
geo_1000,1,dfs,443,858,yes,150,0,149,0.001354,1000,76711,0.1536
geo_1000,2,astar_null,0,691,yes,47,1,999,2.607047,1000,78386,0.1569
geo_1000,2,astar_manhattan,0,691,yes,20,1,879,3.251963,1000,78386,0.1569
geo_1000,2,astar_euclidean,0,691,yes,18,1,996,3.571651,1000,78386,0.1569
geo_1000,2,bfs,0,691,yes,4,0,987,0.0032,1000,78386,0.1569
geo_1000,2,dfs,0,691,yes,300,0,299,0.002884,1000,78386,0.1569
geo_1000,3,astar_null,276,679,yes,27,2,999,2.391435,1000,76807,0.1538
geo_1000,3,astar_manhattan,276,679,yes,11,2,538,1.465551,1000,76807,0.1538
geo_1000,3,astar_euclidean,276,679,yes,11,2,826,2.737014,1000,76807,0.1538
geo_1000,3,bfs,276,679,yes,4,0,691,0.00182,1000,76807,0.1538
geo_1000,3,dfs,276,679,yes,351,0,350,0.004436,1000,76807,0.1538
