graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
geo_200,1,astar_null,30,122,yes,6,9,198,0.012766,200,3592,0.1805
geo_200,1,astar_manhattan,30,122,yes,8,9,197,0.013199,200,3592,0.1805
geo_200,1,astar_euclidean,30,122,yes,8,9,197,0.014698,200,3592,0.1805
geo_200,1,bfs,30,122,yes,6,0,200,0.000208,200,3592,0.1805
geo_200,1,dfs,30,122,yes,62,0,61,0.000179,200,3592,0.1805
geo_200,2,astar_null,4,115,yes,6,9,197,0.009171,200,3021,0.1518
geo_200,2,astar_manhattan,4,115,yes,7,9,195,0.00893,200,3021,0.1518
geo_200,2,astar_euclidean,4,115,yes,7,9,195,0.009982,200,3021,0.1518
geo_200,2,bfs,4,115,yes,6,0,196,0.000166,200,3021,0.1518
geo_200,2,dfs,4,115,yes,120,0,119,0.000235,200,3021,0.1518
geo_200,3,astar_null,184,191,yes,11,11,199,0.008553,200,3084,0.155
geo_200,3,astar_manhattan,184,191,yes,11,11,199,0.008788,200,3084,0.155
geo_200,3,astar_euclidean,184,191,yes,13,11,199,0.009428,200,3084,0.155
geo_200,3,bfs,184,191,yes,8,0,200,0.00019,200,3084,0.155
geo_200,3,dfs,184,191,yes,16,0,15,4.9e-05,200,3084,0.155
