graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
geo_500,1,astar_null,6,239,yes,28,5,498,0.259981,500,19185,0.1538
geo_500,1,astar_manhattan,6,239,yes,29,5,476,0.248558,500,19185,0.1538
geo_500,1,astar_euclidean,6,239,yes,29,5,495,0.254765,500,19185,0.1538
geo_500,1,bfs,6,239,yes,6,0,500,0.001149,500,19185,0.1538
geo_500,1,dfs,6,239,yes,278,0,277,0.001086,500,19185,0.1538
geo_500,2,astar_null,14,215,yes,31,5,497,0.322882,500,19400,0.1555
geo_500,2,astar_manhattan,14,215,yes,34,5,495,0.37089,500,19400,0.1555
geo_500,2,astar_euclidean,14,215,yes,34,5,495,0.380643,500,19400,0.1555
geo_500,2,bfs,14,215,yes,7,0,500,0.00118,500,19400,0.1555
geo_500,2,dfs,14,215,yes,279,0,278,0.001178,500,19400,0.1555
geo_500,3,astar_null,77,114,yes,18,5,497,0.297746,500,19598,0.1571
geo_500,3,astar_manhattan,77,114,yes,18,5,411,0.275352,500,19598,0.1571
geo_500,3,astar_euclidean,77,114,yes,18,5,482,0.434908,500,19598,0.1571
geo_500,3,bfs,77,114,yes,5,0,494,0.00101,500,19598,0.1571
geo_500,3,dfs,77,114,yes,389,0,388,0.001453,500,19598,0.1571
