graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
geo_300,1,astar_null,72,147,yes,12,9,293,0.03162,300,6911,0.1541
geo_300,1,astar_manhattan,72,147,yes,13,9,292,0.032247,300,6911,0.1541
geo_300,1,astar_euclidean,72,147,yes,13,9,292,0.034923,300,6911,0.1541
geo_300,1,bfs,72,147,yes,7,0,300,0.000417,300,6911,0.1541
geo_300,1,dfs,72,147,yes,177,0,176,0.000486,300,6911,0.1541
geo_300,2,astar_null,26,189,yes,19,8,299,0.041186,300,7049,0.1572
geo_300,2,astar_manhattan,26,189,yes,19,8,299,0.037938,300,7049,0.1572
geo_300,2,astar_euclidean,26,189,yes,19,8,299,0.040606,300,7049,0.1572
geo_300,2,bfs,26,189,yes,7,0,300,0.000402,300,7049,0.1572
geo_300,2,dfs,26,189,yes,119,0,118,0.000378,300,7049,0.1572
geo_300,3,astar_null,3,122,yes,10,7,283,0.034147,300,6996,0.156
geo_300,3,astar_manhattan,3,122,yes,14,7,276,0.033938,300,6996,0.156
geo_300,3,astar_euclidean,3,122,yes,12,7,277,0.037681,300,6996,0.156
geo_300,3,bfs,3,122,yes,5,0,300,0.000591,300,6996,0.156
geo_300,3,dfs,3,122,yes,145,0,144,0.000438,300,6996,0.156
